name;short_name;country;units;capacity;coordinates;latitude;longitude;coordinates_dms;status;notes
Millstone Nuclear Power Station;Millstone;United States;2;2102;-72.1686111111111,41.3119444444444,0;41.31194444;-72.16861111;41°18′43″N 72°10′07″W;in service;641 MW reactor permanently shut down
Neckarwestheim Nuclear Power Station;Neckarwestheim;Germany;2;1310;9.175,49.0416666666667,0;49.04166667;9.175;49°02′30″N 09°10′30″E;in service;785 MW reactor permanently shut down
Nine Mile Point Nuclear Power Station;Nine Mile Point;United States;2;1764;-76.4069444444444,43.5208333333333,0;43.52083333;-76.40694444;43°31′15″N 76°24′25″W;in service;
Ningde Nuclear Power Plant;Ningde;China;4;4072;120.288333333333,27.0461111111111,0;27.04611111;120.2883333;27°02′46″N 120°17′18″E;in service;
Nogent Nuclear Power Station;Nogent;France;2;2620;3.51777777777778,48.5152777777778,0;48.51527778;3.517777778;48°30′55″N 03°31′04″E;in service;
North Anna Nuclear Power Station;North Anna;United States;2;1875;-77.7894444444444,38.0605555555556,0;38.06055556;-77.78944444;38°03′38″N 77°47′22″W;in service;
Novovoronezhskaya Nuclear Power Station;Novovoronezh I;Russia;3;1720;39.2,51.275,0;51.275;39.2;51°16′30″N 39°12′00″E;in service;2 reactors with 533 MW permanently shut down
Oconee Nuclear Power Station;Oconee;United States;3;2538;-82.8980555555556,34.7938888888889,0;34.79388889;-82.89805556;34°47′38″N 82°53′53″W;in service;
Ōi Nuclear Power Station;Ōi;Japan;4;4494;135.651944444444,35.5405555555556,0;35.54055556;135.6519444;35°32′26″N 135°39′07″E;shut down;All reactors shut down since 2013
Olkiluoto Nuclear Power Station;Olkiluoto;Finland;2;1740;21.4408333333333,61.2369444444444,0;61.23694444;21.44083333;61°14′13″N 21°26′27″E;in service;1,600 MW reactor under construction
Onagawa Nuclear Power Station;Onagawa;Japan;3;2089;141.499722222222,38.4011111111111,0;38.40111111;141.4997222;38°24′04″N 141°29′59″E;in service;
Oskarshamn Nuclear Power Station;Oskarshamn;Sweden;1;1400;16.6711111111111,57.4155555555556,0;57.41555556;16.67111111;57°24′56″N 16°40′16″E;in service;638 MW and 473 MW reactors permanently shut down
Paks Nuclear Power Station;Paks;Hungary;4;1889;18.8541666666667,46.5725,0;46.5725;18.85416667;46°34′21″N 18°51′15″E;in service;
Palo Verde Nuclear Power Station;Palo Verde;United States;3;3942;-112.865,33.3891666666667,0;33.38916667;-112.865;33°23′21″N 112°51′54″W;in service;
Paluel Nuclear Power Plant;Paluel;France;4;5320;0.635555555555556,49.8580555555556,0;49.85805556;0.635555556;49°51′29″N 00°38′08″E;in service;
Penly Nuclear Power Station;Penly;France;2;2660;1.21194444444444,49.9766666666667,0;49.97666667;1.211944444;49°58′36″N 01°12′43″E;in service;
Peach Bottom Nuclear Generating Station;Peach Bottom;United States;2;2234;-76.2680555555555,39.7583333333333,0;39.75833333;-76.26805556;39°45′30″N 76°16′05″W;in service;40 MW reactor permanently shut down
Perry Nuclear Power Station;Perry;United States;1;1240;-81.1433333333333,41.8008333333333,0;41.80083333;-81.14333333;41°48′03″N 81°08′36″W;in service;
Philippsburg Nuclear Power Station;Philippsburg;Germany;2;1402;8.43638888888889,49.2525,0;49.2525;8.436388889;49°15′09″N 08°26′11″E;in service;890 MW reactor permanently shut down
Pickering Nuclear Generating Station;Pickering;Canada;6;3094;-79.0658333333333,43.8116666666667,0;43.81166667;-79.06583333;43°48′42″N 79°03′57″W;in service;2 reactors with 1030 MW permanently shut down
Point Beach Nuclear Plant;Point Beach;United States;2;1027;-87.5366666666667,44.2811111111111,0;44.28111111;-87.53666667;44°16′52″N 87°32′12″W;in service;
Prairie Island Nuclear Power Station;Prairie Island;United States;2;1114;-92.6330555555555,44.6216666666667,0;44.62166667;-92.63305556;44°37′18″N 92°37′59″W;in service;
Qinshan Nuclear Power Station;Qinshan;China;7;4101;120.956388888889,30.4355555555556,0;30.43555556;120.9563889;30°26′08″N 120°57′23″E;in service;
Quad Cities Nuclear Power Station;Quad Cities;United States;2;1774;-90.31,41.7263888888889,0;41.72638889;-90.31;41°43′35″N 90°18′36″W;in service;
Rajasthan Atomic Power Station;Rajasthan;India;6;1085;75.6138888888889,24.8722222222222,0;24.87222222;75.61388889;24°52′20″N 75°36′50″E;in service;Reactor with 630 MW under construction
Ringhals Nuclear Power Station;Ringhals;Sweden;4;3649;12.1108333333333,57.2597222222222,0;57.25972222;12.11083333;57°15′35″N 12°06′39″E;in service;
Rivne Nuclear Power Station;Rivne;Ukraine;4;2645;25.8916666666667,51.3277777777778,0;51.32777778;25.89166667;51°19′40″N 25°53′30″E;in service;
Rostov Nuclear Power Plant;Rostov;Russia;4;3922;42.3719444444444,47.5994444444444,0;47.59944444;42.37194444;47°35′58″N 42°22′19″E;in service;
Saint-Alban Nuclear Power Station;Saint-Alban;France;2;2670;4.75444444444444,45.4044444444444,0;45.40444444;4.754444444;45°24′16″N 04°45′16″E;in service;
Saint-Laurent Nuclear Power Station;Saint-Laurent;France;2;1830;1.5775,47.72,0;47.72;1.5775;47°43′12″N 01°34′39″E;in service;2 reactors with 855 MW permanently shut down
Saint Lucie Nuclear Power Station;Saint Lucie;United States;2;1678;-80.2463888888889,27.3486111111111,0;27.34861111;-80.24638889;27°20′55″N 80°14′47″W;in service;
Salem Nuclear Power Station;Salem;United States;2;2332;-75.5355555555555,39.4627777777778,0;39.46277778;-75.53555556;39°27′46″N 75°32′08″W;in service;
Sanmen;Sanmen;China;1;1000;121.639722222222,29.1011111111111,0;29.10111111;121.6397222;29°06′04″N 121°38′23″E;in service;1 reactor with 1000 MW under construction
Seabrook Station Nuclear Power Station;Seabrook;United States;1;1247;-70.8508333333333,42.8988888888889,0;42.89888889;-70.85083333;42°53′56″N 70°51′03″W;in service;
Sendai Nuclear Power Station;Sendai;Japan;2;1692;130.189722222222,31.8336111111111,0;31.83361111;130.1897222;31°50′01″N 130°11′23″E;in service;
Sequoyah Nuclear Power Station;Sequoyah;United States;2;2278;-85.0916666666667,35.2263888888889,0;35.22638889;-85.09166667;35°13′35″N 85°05′30″W;in service;
Shika Nuclear Power Station;Shika;Japan;2;1613;136.726388888889,37.0611111111111,0;37.06111111;136.7263889;37°03′40″N 136°43′35″E;in service;
Sizewell-B Nuclear Power Station;Sizewell-B;United Kingdom;1;1188;1.61861111111111,52.2133333333333,0;52.21333333;1.618611111;52°12′48″N 01°37′07″E;in service;
Smolensk Nuclear Power Station;Smolensk;Russia;3;2775;33.2466666666667,54.1691666666667,0;54.16916667;33.24666667;54°10′09″N 33°14′48″E;in service;
South Texas Nuclear Power Station;South Texas;United States;2;2560;-96.0488888888889,28.7955555555556,0;28.79555556;-96.04888889;28°47′44″N 96°02′56″W;in service;
South Ukraine Nuclear Power Station;South Ukraine;Ukraine;3;2850;31.2166666666667,47.8166666666667,0;47.81666667;31.21666667;47°49′00″N 31°13′00″E;in service;
Surry Nuclear Power Station;Surry;United States;2;1638;-76.6977777777778,37.1655555555556,0;37.16555556;-76.69777778;37°09′56″N 76°41′52″W;in service;
Susquehanna Nuclear Power Station;Susquehanna;United States;2;2429;-76.1488888888889,41.0888888888889,0;41.08888889;-76.14888889;41°05′20″N 76°08′56″W;in service;
Taishan;Taishan;China;2;3320;112.979166666667,21.9094444444444,0;21.90944444;112.9791667;21°54′34″N 112°58′45″E;in service;
Takahama Nuclear Power Station;Takahama;Japan;4;3220;135.504722222222,35.5222222222222,0;35.52222222;135.5047222;35°31′20″N 135°30′17″E;in service;
Tarapur Nuclear Power Station;Tarapur;India;4;1280;72.6611111111111,19.8277777777778,0;19.82777778;72.66111111;19°49′40″N 72°39′40″E;in service;
Temelin Nuclear Power Station;Temelin;Czech Republic;2;2052;14.3761111111111,49.18,0;49.18;14.37611111;49°10′48″N 14°22′34″E;in service;
Tianwan Nuclear Power Station;Tianwan;China;3;2970;119.459722222222,34.6869444444444,0;34.68694444;119.4597222;34°41′13″N 119°27′35″E;in service;Another 3 reactors with 2,970 MW reactor under construction
Tihange Nuclear Power Station;Tihange;Belgium;3;3016;5.2725,50.5347222222222,0;50.53472222;5.2725;50°32′05″N 05°16′21″E;in service;
Tokai Nuclear Power Station;Tokai;Japan;1;1060;140.606666666667,36.4663888888889,0;36.46638889;140.6066667;36°27′59″N 140°36′24″E;in service;137 MW reactor permanently shut down
Tomari Nuclear Power Station;Tomari;Japan;3;1966;140.5125,43.0361111111111,0;43.03611111;140.5125;43°02′10″N 140°30′45″E;in service;
Torness Nuclear Power Station;Torness;United Kingdom;2;1205;-2.40916666666667,55.9680555555556,0;55.96805556;-2.409166667;55°58′05″N 02°24′33″W;in service;
Tricastin Nuclear Power Station;Tricastin;France;4;3660;4.73222222222222,44.3297222222222,0;44.32972222;4.732222222;44°19′47″N 04°43′56″E;in service;
Trillo Nuclear Power Station;Trillo;Spain;1;1003;-2.62194444444444,40.7011111111111,0;40.70111111;-2.621944444;40°42′04″N 02°37′19″W;in service;
Tsuruga Nuclear Power Station;Tsuruga;Japan;1;1108;136.077222222222,35.6727777777778,0;35.67277778;136.0772222;35°40′22″N 136°04′38″E;in service;340 MW reactor permanently shut down
Turkey Point Nuclear Generating Station;Turkey Point;United States;2;1386;-80.3305555555555,25.4341666666667,0;25.43416667;-80.33055556;25°26′03″N 80°19′50″W;in service;
Vandellos Nuclear Power Station;Vandellòs;Spain;1;1045;0.866666666666667,40.9513888888889,0;40.95138889;0.866666667;40°57′05″N 00°52′00″E;in service;480 MW reactor permanently shut down
Vogtle Nuclear Power Station;Vogtle;United States;2;2302;-81.7658333333333,33.1430555555556,0;33.14305556;-81.76583333;33°08′35″N 81°45′57″W;in service;2 reactors with 2,234 MW under construction
Waterford Nuclear Power Station;Waterford;United States;1;1168;-90.4711111111111,29.9952777777778,0;29.99527778;-90.47111111;29°59′43″N 90°28′16″W;in service;
Watts Bar Nuclear Generating Station;Watts Bar;United States;2;2288;-84.7894444444444,35.6027777777778,0;35.60277778;-84.78944444;35°36′10″N 84°47′22″W;in service;
Wolf Creek Power Station;Wolf Creek;United States;1;1160;-95.6888888888889,38.2388888888889,0;38.23888889;-95.68888889;38°14′20″N 95°41′20″W;in service;
Wolseong Nuclear Power Station;Wolseong;South Korea;6;4598;129.475,35.7111111111111,0;35.71111111;129.475;35°42′40″N 129°28′30″E;in service;
Yangjiang Nuclear Power Plant;Yangjiang;China;6;6000;112.260555555556,21.7097222222222,0;21.70972222;112.2605556;21°42′35″N 112°15′38″E;in service;
Zaporizhzhia Nuclear Power Plant;Zaporizhzhia;Ukraine;6;5700;34.5858333333333,47.5122222222222,0;47.51222222;34.58583333;47°30′44″N 34°35′09″E;in service;
Barsebäck Nuclear Power Station;Barsebäck;Sweden;;1200;12.920833333333333, 55.74444444444445, 0;55.74444444;12.92083333;55°44′40″N 12°55′15″E;shut down;
Biblis Nuclear Power Station;Biblis;Germany;;2407;8.415277777777778, 49.71, 0;49.71;8.415277778;49°42′36″N 08°24′55″E;shut down;
Bohunice Nuclear Power Station;Bohunice;Slovakia;;1760;17.681944444444447, 48.49444444444445, 0;48.49444444;17.68194444;48°29′40″N 17°40′55″E;shut down;2 reactors with 942 MW are operational
Chin Shan Nuclear Power Station;Chin Shan;Taiwan;;1208;121.58749999999999, 25.28611111111111, 0;25.28611111;121.5875;25°17′10″N 121°35′15″E;shut down;
Chernobyl Nuclear Power Station;Chernobyl;Ukraine;;3515;30.099166666666665, 51.38944444444444, 0;51.38944444;30.09916667;51°23′22″N 30°05′57″E;shut down;
Fukushima Daiichi Nuclear Power Station;Fukushima Daiichi;Japan;;4546;141.03250000000003, 37.421388888888885, 0;37.42138889;141.0325;37°25′17″N 141°01′57″E;shut down;
Grafenrheinfeld Nuclear Power Station;Grafenrheinfeld;Germany;;1275;10.184722222222222, 49.98388888888889, 0;49.98388889;10.18472222;49°59′02″N 10°11′05″E;shut down;
Greifswald Nuclear Power Station;Greifswald;Germany;;2040;13.664444444444445, 54.14055555555556, 0;54.14055556;13.66444444;54°08′26″N 13°39′52″E;shut down;
Ignalina Nuclear Power Station;Ignalina;Lithuania;;2370;26.560000000000002, 55.60444444444445, 0;55.60444444;26.56;55°36′16″N 26°33′36″E;shut down;
Krümmel Nuclear Power Station;Krümmel;Germany;;1346;10.408888888888889, 53.41, 0;53.41;10.40888889;53°24′36″N 10°24′32″E;shut down;
Mihama Nuclear Power Station;Mihama;Japan;;1570;135.9633333333333, 35.7025, 0;35.7025;135.9633333;35°42′09″N 135°57′48″E;shut down;1 reactor with 780 MW is operational
Mülheim-Kärlich Nuclear Power Station;Mülheim-Kärlich;Germany;;1219;7.49, 50.408055555555556, 0;50.40805556;7.49;50°24′29″N 07°29′24″E;shut down;
Three Mile Island Nuclear Power Station;Three Mile Island;United States;;1685;-76.72472222222223, 40.153888888888886, 0;40.15388889;-76.72472222;40°09′14″N 76°43′29″W;shut down;
San Onofre Nuclear Power Station;San Onofre;United States;;2586;-117.55499999999999, 33.36888888888889, 0;33.36888889;-117.555;33°22′08″N 117°33′18″W;shut down;
Superphénix Nuclear Power Station;Superphénix;France;;1200;5.472222222222222, 45.75833333333333, 0;45.75833333;5.472222222;45°45′30″N 05°28′20″E;shut down;
Trojan Nuclear Power Station;Trojan;United States;;1095;-122.885, 46.038333333333334, 0;46.03833333;-122.885;46°02′18″N 122°53′06″W;shut down;
Unterweser Nuclear Power Station;Unterweser;Germany;;1345;8.480277777777777, 53.42777777777778, 0;53.42777778;8.480277778;53°25′40″N 08°28′49″E;shut down;
Zion Nuclear Power Station;Zion;United States;;2080;-87.80305555555556, 42.44638888888888, 0;42.44638889;-87.80305556;42°26′47″N 87°48′11″W;shut down;
Akkuyu Nuclear Power Station;Akkuyu;Turkey;1;1014;33.54111111111111, 36.144444444444446, 0;36.14444444;33.54111111;36°08′40″N 33°32′28″E;under construction;
Barakah Nuclear Power Station;Barakah;UAE;4;5380;52.28361111111111, 23.985, 0;23.985;52.28361111;23°59′6″N 52°17′1″E;under construction;
Belarusian Nuclear Power Station;Belarusian;Belarus;2;2218;26.12, 54.761944444444445, 0;54.76194444;26.12;54°45′43″N 26°7′12″E;under construction;
Hinkley Point C Nuclear Power Station;Hinkley Point C;United Kingdom;2;3300;-3.1438888888888887, 51.20611111111111, 0;51.20611111;-3.143888889;51°12′22″N 3°8′38″W;under construction;
Kakrapar Nuclear Power Station;Kakrapar;India;4;1664;73.35, 21.238611111111112, 0;21.23861111;73.35;21°14′19″N 73°21′00″E;under construction;Two 202 MW reactors are operational
Karachi Nuclear Power Station;Karachi;Pakistan;3;2118;66.78825, 24.847166666666666, 0;24.84716667;66.78825;24°50′49.8″N 66°47′17.7″E;under construction;One 90 MW reactor is operational
Mochovce Nuclear Power Station;Mochovce;Slovakia;4;1752;18.456944444444442, 48.263888888888886, 0;48.26388889;18.45694444;48°15′50″N 18°27′25″E;under construction;Two 872 MW reactors operational
Ōma Nuclear Power Station;Ōma;Japan;1;1325;140.9102777777778, 41.50972222222222, 0;41.50972222;140.9102778;41°30′35″N 140°54′37″E;under construction;
Rooppur Nuclear Power Station;Rooppur;Bangladesh;2;2160;89.04722222222222, 24.066666666666666, 0;24.06666667;89.04722222;24°4′0″N 89°2′50″E;under construction;
Shimane Nuclear Power Station;Shimane;Japan;1;1373;132.99916666666667, 35.538333333333334, 0;35.53833333;132.9991667;35°32′18″N 132°59′57″E;under construction;1 reactor with 789 MW operational, 1 reactor with 439 MW permanently shut down
